replicate,category_id,jaccard,matched_cluster,status
0,0,0.9212121212121213,1.0,ok
0,1,0.9696969696969697,0.0,ok
0,2,0.0064857484212322925,2.0,ok
0,3,0.005803038061102577,2.0,ok
0,4,0.005973715651135006,2.0,ok
0,5,0.006144393241167435,2.0,ok
0,6,0.0621160409556314,2.0,ok
0,7,0.004608294930875576,2.0,ok
0,8,0.017238436593275303,2.0,ok
0,9,0.017921146953405017,2.0,ok
0,10,0.009045912271718724,2.0,ok
0,11,0.007168458781362007,2.0,ok
0,12,0.01945724526369688,2.0,ok
0,13,0.02184673152415088,2.0,ok
0,14,0.02696705922512374,2.0,ok
0,15,0.05137395459976105,2.0,ok
0,16,0.01638504864311316,2.0,ok
0,17,0.02926829268292683,1.0,ok
0,18,0.08209592080559823,2.0,ok
0,19,0.014848950332821301,2.0,ok
0,20,0.009899300221880868,2.0,ok
0,21,0.018262502133469874,2.0,ok
0,22,0.010240655401945725,2.0,ok
0,23,0.009557945041816009,2.0,ok
0,24,0.008021846731524151,2.0,ok
0,25,0.009216589861751152,2.0,ok
0,26,0.014166239972691586,2.0,ok
0,27,0.10377197473971668,2.0,ok
0,28,0.01092336576207544,2.0,ok
0,29,0.008875234681686295,2.0,ok
0,30,0.018603857313534734,2.0,ok
0,31,0.022700119474313024,2.0,ok
0,32,0.005803038061102577,2.0,ok
0,33,0.016726403823178016,2.0,ok
1,0,0.9821428571428571,0.0,ok
1,1,0.99,1.0,ok
1,2,0.94,2.0,ok
1,3,0.9230769230769231,3.0,ok
1,4,0.0,,no_overlapping_cluster
1,5,0.005934718100890208,12.0,ok
1,6,0.9511568123393316,5.0,ok
1,7,0.02666666666666667,2.0,ok
1,8,0.9801980198019802,10.0,ok
1,9,0.9223300970873787,6.0,ok
1,10,0.9433962264150944,4.0,ok
1,11,0.8431372549019608,7.0,ok
1,12,0.9180327868852459,8.0,ok
1,13,0.8581081081081081,9.0,ok
1,14,0.9166666666666666,11.0,ok
1,15,0.9426751592356688,12.0,ok
1,16,0.6384615384615384,16.0,ok
1,17,0.8214285714285714,15.0,ok
1,18,0.7241379310344828,23.0,ok
1,19,0.8272727272727273,14.0,ok
1,20,0.8571428571428571,13.0,ok
1,21,0.6538461538461539,18.0,ok
1,22,0.8615384615384616,17.0,ok
1,23,0.7735849056603774,20.0,ok
1,24,0.36936936936936937,19.0,ok
1,25,0.216,19.0,ok
1,26,0.12048192771084337,25.0,ok
1,27,0.6323337679269883,25.0,ok
1,28,0.7671232876712328,26.0,ok
1,29,0.7857142857142857,27.0,ok
1,30,0.6785714285714286,22.0,ok
1,31,0.8111888111888111,21.0,ok
1,32,0.19170984455958548,24.0,ok
1,33,0.47,24.0,ok
2,0,0.9880952380952381,0.0,ok
2,1,0.9894736842105263,1.0,ok
2,2,0.9512195121951219,4.0,ok
2,3,0.975609756097561,2.0,ok
2,4,0.0,,no_overlapping_cluster
2,5,0.007142857142857143,7.0,ok
2,6,0.9521410579345088,7.0,ok
2,7,0.0,,no_overlapping_cluster
2,8,0.9207920792079208,3.0,ok
2,9,0.9357798165137615,6.0,ok
2,10,0.8571428571428571,11.0,ok
2,11,0.72,8.0,ok
2,12,0.918918918918919,9.0,ok
2,13,0.7762237762237763,10.0,ok
2,14,0.8509316770186336,12.0,ok
2,15,0.8888888888888888,13.0,ok
2,16,0.6203703703703703,14.0,ok
2,17,0.7377049180327869,5.0,ok
2,18,0.7803921568627451,25.0,ok
2,19,0.7676767676767676,23.0,ok
2,20,0.0021598272138228943,25.0,ok
2,21,0.7258064516129032,20.0,ok
2,22,0.75,19.0,ok
2,23,0.7083333333333334,18.0,ok
2,24,0.5660377358490566,17.0,ok
2,25,0.55,15.0,ok
2,26,0.7865168539325843,28.0,ok
2,27,0.7105263157894737,29.0,ok
2,28,0.3900709219858156,26.0,ok
2,29,0.3308270676691729,26.0,ok
2,30,0.8074074074074075,21.0,ok
2,31,0.5414847161572053,22.0,ok
2,32,0.36,27.0,ok
2,33,0.510989010989011,24.0,ok
3,0,0.9881656804733728,0.0,ok
3,1,0.968421052631579,3.0,ok
3,2,0.9743589743589743,1.0,ok
3,3,0.9285714285714286,2.0,ok
3,4,0.6923076923076923,4.0,ok
3,5,0.003076923076923077,16.0,ok
3,6,0.8920863309352518,12.0,ok
3,7,0.05755395683453238,12.0,ok
3,8,0.91,5.0,ok
3,9,0.8717948717948718,11.0,ok
3,10,0.8125,9.0,ok
3,11,0.0,,no_overlapping_cluster
3,12,0.9504132231404959,6.0,ok
3,13,0.7851851851851852,7.0,ok
3,14,0.8125,10.0,ok
3,15,0.912621359223301,16.0,ok
3,16,0.6909090909090909,15.0,ok
3,17,0.6351351351351351,8.0,ok
3,18,0.7673956262425448,24.0,ok
3,19,0.8333333333333334,14.0,ok
3,20,0.64,23.0,ok
3,21,0.632,17.0,ok
3,22,0.8301886792452831,13.0,ok
3,23,0.8387096774193549,20.0,ok
3,24,0.6885245901639344,18.0,ok
3,25,0.7058823529411765,19.0,ok
3,26,0.8137254901960784,25.0,ok
3,27,0.7421758569299552,29.0,ok
3,28,0.8260869565217391,27.0,ok
3,29,0.7916666666666666,26.0,ok
3,30,0.8032786885245902,21.0,ok
3,31,0.6243654822335025,22.0,ok
3,32,0.047058823529411764,28.0,ok
3,33,0.6351351351351351,28.0,ok
4,0,0.9539473684210527,0.0,ok
4,1,0.9117647058823529,3.0,ok
4,2,0.875,1.0,ok
4,3,0.4,2.0,ok
4,4,0.5138888888888888,2.0,ok
4,5,0.006434782608695652,4.0,ok
4,6,0.06434782608695652,4.0,ok
4,7,0.0052173913043478265,4.0,ok
4,8,0.017565217391304348,4.0,ok
4,9,0.01965217391304348,4.0,ok
4,10,0.008869565217391304,4.0,ok
4,11,0.010526315789473684,1.0,ok
4,12,0.019130434782608695,4.0,ok
