cluster_id,thematic_label,size,ax4_mean_jaccard,ax4_std_jaccard,ax4_min_jaccard,ax4_max_jaccard,ax4_stable
7,Race start lights,36,0.8644852941176471,0.10052321611969309,0.6666666666666666,1.0,True
4,Race start launch,42,0.8613725490196078,0.12986214706188737,0.625,1.0,True
10,Chicane moves,62,0.8232598039215688,0.1109158104937852,0.625,1.0,True
0,DRS battles,205,0.8199019607843138,0.08045548378577674,0.6875,0.9375,True
1,Time penalties,118,0.7979166666666666,0.12243549889182015,0.6,0.9333333333333333,True
11,Team radio celebrations,55,0.7687477718360072,0.1427076133290108,0.5333333333333333,0.9375,True
12,Podium finishes,139,0.7668648168996468,0.10786224128864662,0.5909090909090909,0.9375,True
8,Flags signals,118,0.7288235294117648,0.15193750612344764,0.5,1.0,True
3,Mirror checks defending,47,0.727671568627451,0.08064347151077222,0.5333333333333333,0.8,True
29,Corner specific moves,60,0.7169444444444445,0.1563494128191369,0.4444444444444444,0.9333333333333333,True
5,Rain & weather,43,0.7160335497835498,0.11930156908920371,0.5454545454545454,0.9333333333333333,True
2,Lights out start,54,0.7029166666666666,0.06962324204842327,0.6,0.875,True
6,Grand Prix wins,465,0.6863034851621809,0.18063759896542175,0.3888888888888889,0.9333333333333333,True
28,Corner battles early turns,82,0.6745885323826502,0.19183087376456484,0.25,0.9333333333333333,True
9,Formula 1 milestones,134,0.6711686971439293,0.1466530180406324,0.45,0.9333333333333333,True
20,Wing & car damage,61,0.6695588235294118,0.12745992615663732,0.4583333333333333,0.875,True
22,Wheel-to-wheel,71,0.6394652089160099,0.163058332369637,0.3125,0.8666666666666667,True
16,Safety car deployment,122,0.6256578947368422,0.14973497285547405,0.375,0.8666666666666667,True
19,Race lead holding,115,0.6195973389355742,0.24999376804231851,0.2,0.9333333333333333,True
31,Race leader changes,162,0.6055333934340019,0.1857891346950766,0.2962962962962963,0.8666666666666667,True
17,Gap & pace,67,0.6015817997679621,0.18806232663317193,0.17857142857142858,0.875,True
23,Racetrack action,72,0.5852440395861448,0.13909574005473932,0.38461538461538464,0.8,True
15,Tires & compounds,379,0.5751470588235293,0.17156579829600144,0.35294117647058826,0.8125,True
30,Lap timing & fastest lap,136,0.5342624737781938,0.20268326353050686,0.2647058823529412,0.8125,True
21,Braking & lockups,128,0.5318740031897925,0.13885036868310868,0.3333333333333333,0.75,True
13,Championship & title,158,0.4918316236903194,0.19406838548428348,0.2608695652173913,0.9375,False
26,Defending & attacking,110,0.48142367226338056,0.18878945279787893,0.1891891891891892,0.7058823529411765,False
25,Indirect driver references,69,0.4805822197749947,0.14707104929021048,0.24324324324324326,0.75,False
24,Car length gaps,60,0.4748298961182593,0.18086564687321127,0.2222222222222222,0.8125,False
14,Pit stops,185,0.44684115706561534,0.22852585525562077,0.14814814814814814,0.8823529411764706,False
32,Front position changes,45,0.4074605497636806,0.0869679294118227,0.2647058823529412,0.5882352941176471,False
33,Mid-field positions,122,0.39192665684502237,0.11548614520291638,0.19230769230769232,0.5652173913043478,False
18,Team & teammate dynamics,600,0.3654293669225676,0.17111662624510324,0.16666666666666666,0.75,False
27,Overtake battles,762,0.3387504843867176,0.0822495295271454,0.16666666666666666,0.4642857142857143,False
